,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
247,6001 Charleroi,House,69900,3.0,80.0,Not installed,0.0,,,,,,80.0,,2.0, To renovate,
248,6150 Anderlues,House,69999,2.0,107.0,Semi equipped,0.0,,1.0,38.0,1.0,130.0,107.0,275.0,3.0, To renovate,
249,7340 Wasmes,House,70000,2.0,289.0,,0.0,,,,,,289.0,250.0,2.0, To be done up,
250,7134 Epinois,House,70000,2.0,102.0,Not installed,0.0,,,,,,102.0,73.0,3.0, To renovate,
251,4430 Ans,House,70000,2.0,177.0,Not installed,,,,,,,177.0,350.0,2.0, To renovate,
252,7080 Frameries,House,70000,2.0,68.0,,0.0,,,,,,68.0,91.0,3.0, To be done up,
253,7134 LEVAL-TRAHEGNIES,House,70000,2.0,108.0,Not installed,0.0,,,,,,108.0,397.0,2.0, To renovate,
254,7300 Boussu,House,70000,2.0,91.0,,0.0,,,,,,91.0,172.0,2.0, To be done up,
255,7340 PATURAGES,House,70000,2.0,97.0,Semi equipped,0.0,,,,,,97.0,,2.0, Good,
256,4800 Verviers,House,70000,1.0,55.0,Semi equipped,0.0,,,,,,55.0,,2.0, Good,
257,7370 Elouges,House,70000,1.0,102.0,,0.0,,,,,,102.0,340.0,3.0, To renovate,
258,3700 Tongeren,House,70000,3.0,133.0,Installed,,,,,,,133.0,149.0,2.0, To be done up,
259,3665 As,House,70000,3.0,130.0,,,,,,,,130.0,134.0,2.0, To be done up,
260,7130 Binche,House,70000,2.0,132.0,Semi equipped,0.0,,,,,,132.0,50.0,, To renovate,
261,7390 Quaregnon,House,70000,2.0,135.0,Installed,,,,,,,135.0,200.0,3.0,,
262,7320 Bernissart,House,70000,2.0,124.0,,0.0,,,,,,124.0,172.0,3.0, To renovate,
263,9100 Sint-Niklaas,House,70000,1.0,173.0,,,,,,,,173.0,327.0,2.0,,
264,7861 Wannebecq,House,70000,2.0,,,,,,,,,,250.0,3.0, To be done up,
265,3680 Neeroeteren,House,70000,2.0,,,,,,,,,,994.0,4.0,,
266,7951 Tongre-notre-Dame,House,70000,5.0,,,,,,,,,,450.0,3.0, To renovate,
267,5555 Bivre Graide,House,70000,2.0,94.0,Semi equipped,0.0,,,,,,94.0,53.0,2.0,,
268,6040 Jumet,House,70000,2.0,,,,,,,,,,,,,
269,6040 Jumet,House,70000,2.0,,,,,,,,,,240.0,,,
270,5377 NOISEUX,House,70000,2.0,65.0,Semi equipped,1.0,,,,,,65.0,,4.0,,
271,7080 Frameries,House,70000,2.0,118.0,,0.0,,,,1.0,1.0,118.0,,2.0, To restore,
272,7141 Carnires,House,70000,2.0,,,0.0,,,,,,,,, To renovate,
273,6000 Charleroi,House,70000,2.0,56.0,,0.0,,,,,,56.0,16.0,3.0, Good,
274,6041 Charleroi Gosselies,House,70000,2.0,80.0,,0.0,,,,,,80.0,,3.0, To renovate,
275,6042 Charleroi,House,70000,2.0,85.0,,0.0,,1.0,16.0,1.0,259.0,85.0,324.0,2.0, To renovate,
276,4801 Verviers,House,70000,3.0,,Semi equipped,0.0,,,,,,,,2.0, To renovate,
277,6140 Fontaine lEvque,House,70000,4.0,160.0,,0.0,,,,,,160.0,110.0,,,
278,5620 Florennes,House,70000,2.0,,,,,,,,,,149.0,,,
279,7900 Leuze-En-Hainaut,House,70000,3.0,124.0,,,,,,,,124.0,220.0,2.0, To renovate,
280,6200 CHTELINEAU,House,70000,2.0,120.0,Semi equipped,0.0,,,,,,120.0,,3.0, To renovate,
281,4101 Jemeppe,House,70000,1.0,89.0,,,,,,,,89.0,78.0,2.0, To be done up,
282,7950 Chievres,House,70000,2.0,127.0,,0.0,,,,1.0,115.0,127.0,240.0,2.0, To renovate,
283,7301 Hornu,House,70000,2.0,90.0,Not installed,,,,,1.0,100.0,90.0,170.0,2.0, To renovate,
284,7390 Quaregnon,House,70000,2.0,75.0,,,,,,,,75.0,170.0,3.0, To be done up,
