,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
3541,1380 Lasne,House,2450000,6.0,810.0,,0.0,,1.0,55.0,,,810.0,5136.0,4.0, As new,
3542,1380 Lasne,House,2450000,8.0,730.0,Hyper equipped,0.0,,1.0,200.0,1.0,2000.0,730.0,3000.0,4.0, As new,
3543,1380 Lasne,Villa,2450000,8.0,730.0,Installed,0.0,,,,,,730.0,3000.0,, Good,
3544,1380 Lasne,Exceptional property,2450000,8.0,730.0,Hyper equipped,,,,,,,730.0,3000.0,4.0, As new,
3545,1380 Lasne,Villa,2450000,8.0,730.0,Hyper equipped,,,1.0,100.0,1.0,2000.0,730.0,3000.0,4.0, As new,
3546,2970 Schilde,Villa,2450000,4.0,614.0,Hyper equipped,0.0,,1.0,66.0,1.0,3617.0,614.0,3904.0,4.0, Just renovated,
3547,2018 Antwerp,House,2450000,7.0,592.0,,0.0,,,,,,592.0,446.0,3.0,,
3548,9880 Aalter,Exceptional property,2450000,5.0,1200.0,Hyper equipped,0.0,,,,,,1200.0,11036.0,, As new,
3549,3300 Tienen,Mixed-use building,2450000,,3163.0,,0.0,,,,,,3163.0,1600.0,2.0, Good,
3550,2900 Schoten,Villa,2450000,5.0,744.0,Installed,0.0,,,,,,744.0,8100.0,4.0, Good,
3551,9890 Gavere,Exceptional property,2450000,5.0,962.0,Installed,0.0,,,,,,962.0,7406.0,4.0, Just renovated,
3552,2018 Antwerpen,House,2430000,7.0,,,0.0,,,,,,,446.0,3.0, As new,
3553,2018 Antwerp,Mansion,2430000,7.0,592.0,Installed,0.0,,,,,,592.0,446.0,3.0, Good,
3554,8300 Knokke-Heist,Apartment,2425000,3.0,160.0,,0.0,,,,,,160.0,,2.0, As new,
3555,2520 Broechem,Manor house,2420000,,,,,,,,,,,60000.0,,,
3556,1410 Waterloo,Villa,2400000,5.0,288.0,Installed,0.0,,,,,,288.0,7700.0,, Good,
3557,8380 Brugge Zeebrugge,Apartment,2400000,3.0,152.0,USA hyper equipped,,,1.0,30.0,,,152.0,,,,
3558,8380 Brugge Zeebrugge,Ground floor,2400000,3.0,149.0,USA hyper equipped,,,1.0,14.0,1.0,350.0,149.0,,,,
3559,7322 Bernissart Ville-Pommeroeul,Villa,2400000,5.0,536.0,Hyper equipped,,,,,,,536.0,7165.0,4.0, As new,
3560,7500 Tournai,Villa,2400000,5.0,536.0,USA hyper equipped,,,,,,,536.0,7165.0,4.0, As new,
3561,1410 Waterloo,Villa,2400000,5.0,280.0,Hyper equipped,0.0,,1.0,30.0,1.0,7000.0,280.0,7700.0,4.0, Good,
3562,1410 Waterloo,House,2400000,5.0,290.0,Installed,0.0,,1.0,100.0,1.0,7800.0,290.0,7800.0,4.0, Good,
3563,7322 Bernissart,Villa,2400000,4.0,536.0,Hyper equipped,0.0,,,,1.0,5000.0,536.0,6714.0,4.0, As new,
3564,7500 Tournai,Apartment,2400000,3.0,333.0,Installed,0.0,,1.0,60.0,,,333.0,,3.0,,
3565,1030 Schaerbeek,Apartment block,2400000,6.0,1242.0,,0.0,,1.0,25.0,1.0,615.0,1242.0,1115.0,2.0,,
3566,7500 Tournai,Apartment block,2400000,,,,,,,,,,,,4.0, As new,
3567,8000 Brugge,Exceptional property,2399000,5.0,400.0,Hyper equipped,0.0,,1.0,100.0,1.0,100.0,400.0,334.0,4.0, As new,
3568,8000 Brugge,Mansion,2399000,6.0,400.0,Hyper equipped,,,1.0,100.0,,,400.0,334.0,2.0, As new,
3569,1730 Asse,Villa,2395000,6.0,540.0,Installed,0.0,,,,,,540.0,39438.0,4.0, As new,
3570,3000 Leuven,Mixed-use building,2395000,,,,,,,,,,,287.0,, Good,
3571,2360 Oud-Turnhout,Villa,2395000,7.0,1000.0,,0.0,,,,,,1000.0,2013.0,4.0, As new,
3572,1180 Uccle,Villa,2390000,5.0,468.0,USA hyper equipped,0.0,,1.0,60.0,1.0,550.0,468.0,1160.0,4.0, As new,
3573,1180 Uccle,Exceptional property,2390000,5.0,480.0,,,,,,1.0,500.0,480.0,1160.0,4.0, As new,
3574,9700 Oudenaarde,Apartment block,2390000,,,Installed,0.0,,,,,,,300.0,4.0, Good,
3575,4130 Esneux Tilff,Apartment block,2376309,22.0,,,0.0,,,,,,,350.0,4.0, As new,
3576,9000 Gent,Villa,2375000,5.0,,Installed,,,,,,,,943.0,4.0, As new,
3577,2018 Antwerp,Mixed-use building,2375000,,,,,,,,,,,,2.0,,
3578,8300 Knokke-Heist,Penthouse,2350000,2.0,126.0,USA hyper equipped,0.0,,,,,,126.0,,2.0, As new,
3579,1050 Ixelles,Mansion,2350000,5.0,540.0,Hyper equipped,,,1.0,50.0,,,540.0,170.0,2.0, As new,
3580,3140 Keerbergen,House,2350000,6.0,847.0,Hyper equipped,0.0,,1.0,100.0,,,847.0,6529.0,4.0, As new,
3581,1640 Rhode-Saint-Genese,House,2350000,6.0,550.0,USA installed,,,,,,,550.0,3360.0,4.0, Good,
3582,1050 Ixelles,Exceptional property,2350000,5.0,485.0,USA hyper equipped,0.0,,1.0,40.0,,,485.0,170.0,2.0, As new,
3583,3080 Tervuren,Villa,2350000,5.0,420.0,,,,1.0,30.0,,,420.0,1720.0,4.0, As new,
3584,8300 Knokke,Apartment,2350000,2.0,128.0,,,,,,,,128.0,,,,
3585,3080 Tervuren,House,2350000,5.0,626.0,,0.0,,1.0,30.0,1.0,30.0,626.0,1720.0,4.0,,
3586,2000 Antwerp,Apartment,2350000,3.0,350.0,,,,,,,,350.0,,2.0, As new,
3587,2000 Antwerp,Penthouse,2350000,3.0,375.0,,,,1.0,48.0,,,375.0,,3.0, As new,
3588,1070 Anderlecht,Mixed-use building,2350000,,,,,,,,,,,200050.0,, As new,
3589,7740 Warcoing,Manor house,2350000,5.0,800.0,Hyper equipped,0.0,,,,,,800.0,40000.0,,,
