,Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
83,83,4432 Alleur,House,50000,3.0,140.0,Installed,0.0,0.0,0.0,,0.0,,140.0,279.0,2.0, To renovate,0.0
84,84,7340 Colfontaine,House,50000,2.0,70.0,Semi equipped,0.0,0.0,0.0,,0.0,,70.0,200.0,2.0, To renovate,0.0
85,85,4420 Tilleur,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,89.0,2.0, To renovate,0.0
86,86,7012 Jemappes,House,50000,1.0,89.0,Installed,0.0,0.0,0.0,,0.0,,89.0,5.0,2.0, To renovate,0.0
87,87,2100 Antwerp,Studio,50000,1.0,59.0,Installed,0.0,0.0,0.0,,0.0,,59.0,59.0,2.0,Good,0.0
88,88,4032 Chne,Other properties,50000,2.0,108.0,Not installed,0.0,0.0,0.0,,0.0,,108.0,120.0,2.0, To renovate,0.0
89,89,1080 Molenbeek-Saint-Jean,Apartment,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
90,90,3000 Leuven,Apartment,50000,1.0,201.43684820393975,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
91,91,7370 ELOUGES,House,50000,1.0,72.0,Installed,0.0,0.0,0.0,,0.0,,72.0,72.0,2.0, To renovate,0.0
92,92,3000 Leuven,Apartment,50000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
93,93,7600 Pruwelz,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,318.0,2.0, To renovate,0.0
94,94,7340 Colfontaine,House,50000,2.0,100.0,Installed,0.0,0.0,0.0,,0.0,,100.0,443.0,3.0, To renovate,0.0
95,95,7134 Leval-Trahegnies,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,320.0,2.0, To renovate,0.0
96,96,4000 Lige,Apartment,50000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, Good,0.0
97,97,7340 Wasmes,House,50000,2.0,92.0,Installed,0.0,0.0,0.0,,0.0,,92.0,170.0,2.0,Good,0.0
98,98,8930 Menen,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,183.0,2.0, To renovate,0.0
99,99,5600 MERLEMONT,Other properties,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,1020.0,2.0,Good,0.0
100,100,5600 MERLEMONT,Other properties,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,1022.0,2.0,Good,0.0
101,101,5600 MERLEMONT,Other properties,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,958.0,2.0,Good,0.0
102,102,7700 Mouscron,House,50000,2.0,201.43684820393975,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393975,153.0,2.0, To renovate,0.0
103,103,2180 Ekeren,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,110.0,2.0, To renovate,0.0
104,104,8400 Oostende,Apartment,50000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
105,105,7380 Quivrain,House,50000,6.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,280.0,2.0,Good,0.0
106,106,5660 Couvin,House,50000,4.0,166.0,Not installed,0.0,0.0,1.0,24.0,0.0,,166.0,143.0,1.0,Good,0.0
107,107,6971 Champlon,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,850.0,4.0, To renovate,0.0
108,108,5300 Andenne,House,50000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,450.0,2.0,Good,0.0
109,109,6690 Bihain,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, To renovate,0.0
